protein_id,
ENSP00000309558,O60279
ENSP00000362306,Q9HCK5
ENSP00000401371,P31483
ENSP00000262238,P25490
ENSP00000311816,Q13127
ENSP00000258729,O00425
ENSP00000329357,P08047
ENSP00000258962,Q07955
ENSP00000362690,Q13285
ENSP00000349428,P26599
ENSP00000413035,O43251
ENSP00000329029,Q92994
ENSP00000354951,Q96PU8
ENSP00000379144,Q8NDV7
ENSP00000362287,Q9H9G7
ENSP00000385269,Q9NUL5
ENSP00000338371,Q9UPQ9
ENSP00000362300,Q9UL18
ENSP00000316578,Q15022
ENSP00000350028,Q9HCE1
ENSP00000254108,P35637
ENSP00000371634,Q9Y6M1
ENSP00000220592,Q9UKV8
ENSP00000290341,Q9NZI8
ENSP00000361021,P60484
ENSP00000381031,Q01844
ENSP00000240185,Q13148